id,neighbourhood,room_type,availability_365,log_price,log_minimum_nights,log_number_of_reviews,log_reviews_per_month
2818,Oostelijk Havengebied - Indische Buurt,Private room,12,4.077537444,1.098612289,5.541263545,0.727548607
20168,Centrum-Oost,Entire home/apt,166,4.382026635,0,5.587248658,0.871293366
25428,Centrum-West,Entire home/apt,116,4.828313737,2.63905733,0.693147181,-2.040220829
27886,Centrum-West,Private room,102,5.010635294,0.693147181,5.241747015,0.751416089
28658,Bos en Lommer,Private room,236,4.17438727,1.098612289,6.115892125,1.423108334
28871,Centrum-West,Private room,145,4.317488114,0.693147181,5.564520407,0.90016135
29051,Centrum-West,Private room,166,4.007333185,0.693147181,6.021023349,1.425515074
31080,Zuid,Entire home/apt,0,5.38907173,1.098612289,3.465735903,-1.078809661
38266,Centrum-West,Entire home/apt,73,4.976733742,1.098612289,5.288267031,0.615185639
41125,Centrum-West,Entire home/apt,0,5.192956851,1.386294361,4.356708827,-0.274436846
42970,Centrum-West,Private room,128,5.068904202,1.098612289,6.095824562,1.437462648
43980,Zuid,Entire home/apt,172,4.605170186,3.33220451,4.110873864,-0.527632742
44391,Centrum-Oost,Entire home/apt,0,5.298317367,0.693147181,3.526360525,-1.139434283
46386,De Pijp - Rivierenbuurt,Entire home/apt,0,5.010635294,1.098612289,1.098612289,-3.506557897
47061,De Baarsjes - Oud-West,Entire home/apt,0,4.941642423,0.693147181,5.170483995,0.512823626
48076,Centrum-West,Entire home/apt,243,5.857933154,1.609437912,5.147494477,0.620576488
49552,Centrum-West,Entire home/apt,229,5.480638923,1.098612289,5.774551546,1.131402111
50518,Westerpark,Entire home/apt,0,4.828313737,0,4.543294782,0.165514438
50523,Centrum-West,Private room,201,4.744932128,0.693147181,5.472270674,0.850150929
50570,Bos en Lommer,Entire home/apt,0,4.49980967,1.386294361,5.056245805,0.463734016
53067,De Pijp - Rivierenbuurt,Private room,0,4.465908119,0.693147181,5.834810737,1.199964783
53671,Westerpark,Private room,241,4.317488114,1.098612289,5.627621114,1.040276712
53692,De Pijp - Rivierenbuurt,Private room,3,4.094344562,0,5.545177444,0.97455964
55256,Centrum-Oost,Private room,99,4.454347296,0,4.990432587,0.385262401
55621,De Pijp - Rivierenbuurt,Entire home/apt,4,5.402677382,1.098612289,3.33220451,-1.30933332
55703,Bos en Lommer,Entire home/apt,125,5.521460918,1.098612289,1.098612289,-2.659260037
55709,Centrum-Oost,Entire home/apt,129,5.068904202,1.609437912,3.970291914,-0.653926467
55807,De Baarsjes - Oud-West,Private room,44,4.094344562,0.693147181,5.023880521,0.385262401
55868,Zuid,Entire home/apt,4,5.003946306,1.386294361,4.48863637,-0.127833372
56879,Centrum-West,Entire home/apt,142,4.718498871,3.33220451,0,-4.605170186
58211,Centrum-West,Private room,224,5.459585514,1.098612289,4.532599493,0.104360015
62015,Oud-Oost,Entire home/apt,93,4.691347882,0.693147181,3.091042453,-1.514127733
64736,De Baarsjes - Oud-West,Entire home/apt,51,5.241747015,1.386294361,4.521788577,0.285178942
64769,Centrum-Oost,Entire home/apt,68,6.109247583,1.386294361,3.295836866,-1.272965676
65230,Centrum-West,Entire home/apt,86,5.187385806,1.098612289,4.454347296,-0.105360516
